 itr,            f,   df_abs[%],   df_rel[%],        c1: =,       c1_ref,      len_C1,  adj_len_C1,        c2: =,       c2_ref,      len_C2,  adj_len_C2,        c3: =,       c3_ref,      len_C3,  adj_len_C3,     bi_itrs,      bi_err, test_norm_dX_bar,     norm_dX, step_length,               time_stamp
  60,  8.10706E-01,  3.36354E+01, -2.98147E-02,  8.82658E-02,  8.82659E-02,   -0.000749,   -0.000749,  9.99974E-01,  9.99971E-01,    0.065084,    0.065084,  2.03960E+00,  2.03955E+00,    0.529355,    0.436719,           6,    0.008182,         1.256902,    0.000024, 2.36118E-05, Mon Jul  1 13:52:56 2024
  61,  8.10560E-01,  3.36113E+01, -2.40600E-02,  8.82658E-02,  8.82659E-02,   -0.000607,   -0.000607,  9.99974E-01,  9.99971E-01,    0.052426,    0.052426,  2.03959E+00,  2.03955E+00,    0.464996,    0.421484,           7,    0.000830,         1.115987,    0.000024, 2.36118E-05, Mon Jul  1 13:53:02 2024
  62,  8.10416E-01,  3.35875E+01, -2.37991E-02,  8.82658E-02,  8.82659E-02,   -0.000605,   -0.000605,  9.99974E-01,  9.99971E-01,    0.051961,    0.051961,  2.03958E+00,  2.03955E+00,    0.413007,    0.413007,           0,   -0.022489,         0.977511,    0.000022, 2.36118E-05, Mon Jul  1 13:53:07 2024
  63,  8.10456E-01,  3.35941E+01,  6.56052E-03,  8.82659E-02,  8.82659E-02,   -0.000327,   -0.000327,  9.99973E-01,  9.99971E-01,    0.038848,    0.038848,  2.03958E+00,  2.03955E+00,    0.392408,    0.392408,           0,   -0.044638,         0.955362,    0.000022, 2.36118E-05, Mon Jul  1 13:53:12 2024
  64,  8.10510E-01,  3.36029E+01,  8.84061E-03,  8.82659E-02,  8.82659E-02,   -0.000374,   -0.000374,  9.99973E-01,  9.99971E-01,    0.046254,    0.046254,  2.03958E+00,  2.03955E+00,    0.482991,    0.416406,           6,    0.001122,         1.179880,    0.000019, 1.88895E-05, Mon Jul  1 13:53:17 2024
  65,  8.10394E-01,  3.35839E+01, -1.90674E-02,  8.82659E-02,  8.82659E-02,   -0.000758,   -0.000758,  9.99973E-01,  9.99971E-01,    0.065073,    0.065073,  2.03958E+00,  2.03955E+00,    0.546276,    0.436719,           6,    0.008055,         1.302163,    0.000015, 1.51116E-05, Mon Jul  1 13:53:22 2024
  66,  8.10301E-01,  3.35685E+01, -1.53811E-02,  8.82659E-02,  8.82659E-02,   -0.000613,   -0.000613,  9.99973E-01,  9.99971E-01,    0.052415,    0.052415,  2.03957E+00,  2.03955E+00,    0.481999,    0.421484,           7,    0.000928,         1.161517,    0.000015, 1.51116E-05, Mon Jul  1 13:53:27 2024
  67,  8.10208E-01,  3.35533E+01, -1.52174E-02,  8.82659E-02,  8.82659E-02,   -0.000609,   -0.000609,  9.99973E-01,  9.99971E-01,    0.051952,    0.051952,  2.03957E+00,  2.03955E+00,    0.430079,    0.430079,           0,    0.007663,         1.023264,    0.000015, 1.51116E-05, Mon Jul  1 13:53:32 2024
  68,  8.10123E-01,  3.35392E+01, -1.40868E-02,  8.82659E-02,  8.82659E-02,   -0.000606,   -0.000606,  9.99973E-01,  9.99971E-01,    0.052273,    0.052273,  2.03957E+00,  2.03955E+00,    0.381023,    0.381023,           0,   -0.024248,         0.890734,    0.000015, 1.51116E-05, Mon Jul  1 13:53:37 2024
  69,  8.10182E-01,  3.35489E+01,  9.71572E-03,  8.82659E-02,  8.82659E-02,   -0.000232,   -0.000232,  9.99972E-01,  9.99971E-01,    0.031697,    0.031697,  2.03957E+00,  2.03955E+00,    0.366988,    0.366988,           0,   -0.031659,         0.905054,    0.000015, 1.51116E-05, Mon Jul  1 13:53:42 2024
  70,  8.10236E-01,  3.35578E+01,  8.88063E-03,  8.82659E-02,  8.82659E-02,   -0.000313,   -0.000313,  9.99972E-01,  9.99971E-01,    0.041068,    0.041068,  2.03957E+00,  2.03955E+00,    0.464915,    0.411328,           7,    0.000452,         1.144297,    0.000012, 1.20893E-05, Mon Jul  1 13:53:47 2024
  71,  8.10162E-01,  3.35456E+01, -1.21785E-02,  8.82659E-02,  8.82659E-02,   -0.000764,   -0.000764,  9.99973E-01,  9.99971E-01,    0.065028,    0.065028,  2.03957E+00,  2.03955E+00,    0.530073,    0.436719,           6,    0.008057,         1.258641,    0.000010, 9.67141E-06, Mon Jul  1 13:53:52 2024
  72,  8.10102E-01,  3.35357E+01, -9.83775E-03,  8.82659E-02,  8.82659E-02,   -0.000617,   -0.000617,  9.99972E-01,  9.99971E-01,    0.052412,    0.052412,  2.03956E+00,  2.03955E+00,    0.465893,    0.421484,           7,    0.001014,         1.118185,    0.000010, 9.67141E-06, Mon Jul  1 13:53:57 2024
  73,  8.10043E-01,  3.35260E+01, -9.73336E-03,  8.82659E-02,  8.82659E-02,   -0.000613,   -0.000613,  9.99972E-01,  9.99971E-01,    0.051944,    0.051944,  2.03956E+00,  2.03955E+00,    0.414021,    0.414021,           0,   -0.019896,         0.980104,    0.000009, 9.67141E-06, Mon Jul  1 13:54:02 2024
  74,  8.10059E-01,  3.35286E+01,  2.57681E-03,  8.82659E-02,  8.82659E-02,   -0.000351,   -0.000351,  9.99972E-01,  9.99971E-01,    0.039069,    0.039069,  2.03956E+00,  2.03955E+00,    0.393223,    0.393223,           0,   -0.043192,         0.956808,    0.000009, 9.67141E-06, Mon Jul  1 13:54:06 2024
  75,  8.10080E-01,  3.35321E+01,  3.55669E-03,  8.82659E-02,  8.82659E-02,   -0.000403,   -0.000403,  9.99972E-01,  9.99971E-01,    0.046415,    0.046415,  2.03956E+00,  2.03955E+00,    0.483572,    0.416406,           6,    0.000504,         1.180783,    0.000008, 7.73713E-06, Mon Jul  1 13:54:11 2024
